year;month;pop;death
1915;1;197180;241
1915;2;197648;191
1915;3;198117;210
1915;4;198585;217
1915;5;199053;206
1915;6;199522;171
1915;7;199990;193
1915;8;200458;178
1915;9;200927;148
1915;10;201395;163
1915;11;201863;181
1915;12;202332;171
1916;1;202800;236
1916;2;203417;222
1916;3;204033;264
1916;4;204650;211
1916;5;205267;206
1916;6;205883;187
1916;7;206500;182
1916;8;207117;199
1916;9;207733;159
1916;10;208350;163
1916;11;208967;183
1916;12;209583;229
1917;1;210200;222
1917;2;210338;271
1917;3;210475;241
1917;4;210612;253
1917;5;210750;225
1917;6;210888;172
1917;7;211025;178
1917;8;211162;178
1917;9;211300;172
1917;10;211438;176
1917;11;211575;193
1917;12;211712;191
1918;1;211850;236
1918;2;211768;207
1918;3;211687;246
1918;4;211605;192
1918;5;211523;213
1918;6;211442;187
1918;7;211360;244
1918;8;211278;206
1918;9;211197;221
1918;10;211115;640
1918;11;211033;308
1918;12;210952;368
1919;1;210870;269
1919;2;210572;209
1919;3;210275;253
1919;4;209978;230
1919;5;209680;222
1919;6;209382;179
1919;7;209085;207
1919;8;208788;160
1919;9;208490;174
1919;10;208192;211
1919;11;207895;227
1919;12;207598;226
1920;1;207300;225
1920;2;206900;434
1920;3;206500;294
1920;4;206100;229
1920;5;205700;228
1920;6;205300;192
1920;7;204900;190
1920;8;204500;184
1920;9;204100;183
1920;10;203700;189
1920;11;203300;183
1920;12;202900;218
1921;1;202500;238
1921;2;202275;218
1921;3;202050;241
1921;4;201825;193
1921;5;201600;184
1921;6;201375;186
1921;7;201150;177
1921;8;200925;163
1921;9;200700;138
1921;10;200475;201
1921;11;200250;181
1921;12;200025;209
1922;1;199800;257
1922;2;199992;289
1922;3;200183;232
1922;4;200375;208
1922;5;200567;211
1922;6;200758;179
1922;7;200950;176
1922;8;201142;176
1922;9;201333;153
1922;10;201525;173
1922;11;201717;193
1922;12;201908;196
1923;1;202100;212
1923;2;202417;177
1923;3;202733;217
1923;4;203050;210
1923;5;203367;202
1923;6;203683;200
1923;7;204000;195
1923;8;204317;166
1923;9;204633;150
1923;10;204950;182
1923;11;205267;172
1923;12;205583;214
1924;1;205900;211
1924;2;206075;263
1924;3;206250;281
1924;4;206425;248
1924;5;206600;213
1924;6;206775;181
1924;7;206950;175
1924;8;207125;178
1924;9;207300;178
1924;10;207475;175
1924;11;207650;187
1924;12;207825;223
1925;1;208000;211
1925;2;208408;212
1925;3;208817;231
1925;4;209225;232
1925;5;209633;234
1925;6;210042;181
1925;7;210450;179
1925;8;210858;172
1925;9;211267;193
1925;10;211675;206
1925;11;212083;197
1925;12;212492;238
